term,count
going,321
county,294
just,285
know,276
board,214
people,208
want,206
don,199
ve,198
like,193
thank,180
time,173
right,163
think,159
water,157
project,141
need,129
jobs,119
say,119
sangamon,113
things,112
tonight,108
cyrus,102
illinois,101
sangamon county,101
community,100
ll,100
members,100
years,100
good,98
zoning,91
thing,89
make,87
lot,84
work,83
building,82
year,81
noise,80
public,79
county board,78
question,75
local,74
generators,73
power,73
tax,72
springfield,71
job,70
use,70
come,68
energy,68
speak,68
really,67
mean,66
new,66
yes,66
sure,65
union,65
let,64
said,64
coming,63
